Merchant_Name,Industry,Location
Gamma Electronics 571,Electronics,"Mumbai, India"
Kappa Sports 269,Electronics,"New York, USA"
Kappa Sports 924,Food & Beverage,"London, UK"
Lambda Books 710,Books,"London, UK"
Gamma Electronics 384,Electronics,"Tokyo, Japan"
Epsilon Pharma 763,Pharmaceuticals,"Paris, France"
Alpha Traders 631,Retail,"Berlin, Germany"
Sigma Tech 848,Technology,"New York, USA"
Beta Retail 955,Retail,"Dubai, UAE"
Kappa Sports 327,Sports,"London, UK"
Lambda Books 874,Technology,"Paris, France"
Alpha Traders 642,Fashion,"Los Angeles, USA"
Zeta Furnishings 683,Sports,"Mumbai, India"
Kappa Sports 525,Books,"Tokyo, Japan"
Sigma Tech 778,Books,"London, UK"
Gamma Electronics 651,Food & Beverage,"Dubai, UAE"
Kappa Sports 999,Food & Beverage,"Paris, France"
Gamma Electronics 405,Books,"Toronto, Canada"
Zeta Furnishings 844,Books,"Tokyo, Japan"
Gamma Electronics 342,Fashion,"London, UK"
Delta Foods 580,Food & Beverage,"Los Angeles, USA"
Zeta Furnishings 608,Sports,"Sydney, Australia"
Epsilon Pharma 257,Technology,"Dubai, UAE"
Kappa Sports 268,Books,"Toronto, Canada"
Alpha Traders 397,Technology,"Paris, France"
Gamma Electronics 976,Sports,"New York, USA"
Alpha Traders 376,Electronics,"Los Angeles, USA"
Omega Fashion 406,Sports,"Tokyo, Japan"
Sigma Tech 617,Electronics,"Los Angeles, USA"
Sigma Tech 867,Electronics,"New York, USA"
Alpha Traders 507,Books,"Berlin, Germany"
Kappa Sports 628,Pharmaceuticals,"Sydney, Australia"
Omega Fashion 746,Sports,"Paris, France"
Sigma Tech 336,Fashion,"New York, USA"
Gamma Electronics 288,Retail,"Dubai, UAE"
Kappa Sports 805,Technology,"Los Angeles, USA"
Gamma Electronics 324,Books,"London, UK"
Alpha Traders 443,Sports,"Berlin, Germany"
Epsilon Pharma 321,Food & Beverage,"Dubai, UAE"
Alpha Traders 356,Food & Beverage,"Mumbai, India"
Zeta Furnishings 784,Sports,"New York, USA"
Zeta Furnishings 152,Electronics,"Paris, France"
Alpha Traders 889,Books,"Sydney, Australia"
Delta Foods 439,Fashion,"London, UK"
Zeta Furnishings 271,Pharmaceuticals,"Sydney, Australia"
Gamma Electronics 755,Pharmaceuticals,"London, UK"
Zeta Furnishings 250,Fashion,"Mumbai, India"
Omega Fashion 166,Retail,"Tokyo, Japan"
Sigma Tech 729,Books,"Dubai, UAE"
Zeta Furnishings 780,Books,"Toronto, Canada"
Lambda Books 658,Sports,"Toronto, Canada"
Sigma Tech 380,Electronics,"New York, USA"
Alpha Traders 291,Retail,"London, UK"
Alpha Traders 192,Retail,"Berlin, Germany"
Sigma Tech 569,Books,"Toronto, Canada"
Lambda Books 427,Books,"Los Angeles, USA"
Kappa Sports 242,Food & Beverage,"Toronto, Canada"
Alpha Traders 300,Retail,"Paris, France"
Sigma Tech 665,Fashion,"Berlin, Germany"
Delta Foods 852,Retail,"Toronto, Canada"
Delta Foods 167,Sports,"Sydney, Australia"
Kappa Sports 874,Books,"Dubai, UAE"
Gamma Electronics 786,Sports,"Toronto, Canada"
Epsilon Pharma 107,Food & Beverage,"Berlin, Germany"
Epsilon Pharma 473,Books,"New York, USA"
Sigma Tech 949,Sports,"Toronto, Canada"
Zeta Furnishings 337,Retail,"Paris, France"
Alpha Traders 669,Electronics,"Tokyo, Japan"
Lambda Books 586,Sports,"Paris, France"
Lambda Books 739,Fashion,"New York, USA"
Epsilon Pharma 912,Books,"Los Angeles, USA"
Kappa Sports 462,Books,"Los Angeles, USA"
Omega Fashion 599,Fashion,"Mumbai, India"
Lambda Books 430,Pharmaceuticals,"Los Angeles, USA"
Zeta Furnishings 657,Food & Beverage,"Toronto, Canada"
Sigma Tech 365,Electronics,"Paris, France"
Sigma Tech 130,Fashion,"Dubai, UAE"
Epsilon Pharma 398,Books,"Mumbai, India"
Gamma Electronics 561,Pharmaceuticals,"Mumbai, India"
Omega Fashion 398,Electronics,"Los Angeles, USA"
Kappa Sports 740,Retail,"Dubai, UAE"
Sigma Tech 837,Pharmaceuticals,"Sydney, Australia"
Delta Foods 941,Books,"New York, USA"
Alpha Traders 369,Food & Beverage,"Sydney, Australia"
Epsilon Pharma 757,Food & Beverage,"Paris, France"
Beta Retail 669,Fashion,"Berlin, Germany"
Kappa Sports 288,Food & Beverage,"Dubai, UAE"
Alpha Traders 474,Books,"Los Angeles, USA"
Sigma Tech 322,Retail,"Berlin, Germany"
Beta Retail 911,Sports,"London, UK"
Omega Fashion 326,Sports,"London, UK"
Lambda Books 497,Electronics,"London, UK"
Delta Foods 895,Electronics,"Los Angeles, USA"
Gamma Electronics 232,Food & Beverage,"Tokyo, Japan"
Kappa Sports 726,Pharmaceuticals,"Toronto, Canada"
Gamma Electronics 371,Electronics,"Paris, France"
Alpha Traders 950,Food & Beverage,"New York, USA"
Sigma Tech 370,Electronics,"London, UK"
Gamma Electronics 235,Sports,"Tokyo, Japan"
Lambda Books 595,Electronics,"Tokyo, Japan"
Zeta Furnishings 307,Food & Beverage,"Sydney, Australia"
Sigma Tech 720,Pharmaceuticals,"Berlin, Germany"
Gamma Electronics 574,Sports,"Tokyo, Japan"
Gamma Electronics 527,Electronics,"Mumbai, India"
Alpha Traders 182,Food & Beverage,"Dubai, UAE"
Kappa Sports 938,Food & Beverage,"London, UK"
Epsilon Pharma 323,Fashion,"London, UK"
Kappa Sports 812,Technology,"Paris, France"
Sigma Tech 323,Fashion,"New York, USA"
Sigma Tech 387,Pharmaceuticals,"Berlin, Germany"
Alpha Traders 378,Books,"Berlin, Germany"
Delta Foods 969,Retail,"Mumbai, India"
Gamma Electronics 709,Retail,"Mumbai, India"
Epsilon Pharma 772,Retail,"New York, USA"
Epsilon Pharma 525,Food & Beverage,"Tokyo, Japan"
Gamma Electronics 333,Technology,"Los Angeles, USA"
Gamma Electronics 388,Food & Beverage,"Toronto, Canada"
Omega Fashion 133,Pharmaceuticals,"Berlin, Germany"
Lambda Books 786,Fashion,"Los Angeles, USA"
Alpha Traders 240,Fashion,"Sydney, Australia"
Zeta Furnishings 194,Retail,"Mumbai, India"
Delta Foods 317,Retail,"London, UK"
Sigma Tech 272,Food & Beverage,"Toronto, Canada"
Omega Fashion 671,Sports,"Tokyo, Japan"
Kappa Sports 589,Fashion,"Toronto, Canada"
Sigma Tech 348,Retail,"New York, USA"
Sigma Tech 620,Technology,"London, UK"
Delta Foods 378,Electronics,"Tokyo, Japan"
Alpha Traders 162,Sports,"New York, USA"
Omega Fashion 600,Books,"Sydney, Australia"
Alpha Traders 271,Technology,"Berlin, Germany"
Beta Retail 688,Sports,"Sydney, Australia"
Gamma Electronics 651,Technology,"Tokyo, Japan"
Gamma Electronics 460,Sports,"New York, USA"
Beta Retail 621,Retail,"Paris, France"
Delta Foods 169,Sports,"Los Angeles, USA"
Delta Foods 847,Books,"Dubai, UAE"
Zeta Furnishings 809,Sports,"Sydney, Australia"
Delta Foods 240,Electronics,"Los Angeles, USA"
Kappa Sports 467,Pharmaceuticals,"Los Angeles, USA"
Alpha Traders 866,Food & Beverage,"Toronto, Canada"
Epsilon Pharma 108,Pharmaceuticals,"Berlin, Germany"
Omega Fashion 699,Food & Beverage,"Sydney, Australia"
Gamma Electronics 989,Technology,"Dubai, UAE"
Beta Retail 779,Sports,"New York, USA"
Sigma Tech 808,Food & Beverage,"Sydney, Australia"
Alpha Traders 417,Retail,"London, UK"
Alpha Traders 412,Technology,"Berlin, Germany"
Alpha Traders 914,Fashion,"New York, USA"
Lambda Books 773,Sports,"Tokyo, Japan"
Lambda Books 189,Fashion,"Berlin, Germany"
Zeta Furnishings 252,Food & Beverage,"Mumbai, India"
Epsilon Pharma 171,Books,"Dubai, UAE"
Gamma Electronics 756,Retail,"Toronto, Canada"
Gamma Electronics 165,Books,"Tokyo, Japan"
Sigma Tech 876,Electronics,"Toronto, Canada"
Omega Fashion 328,Technology,"Toronto, Canada"
Kappa Sports 293,Sports,"Paris, France"
Kappa Sports 427,Fashion,"Dubai, UAE"
Gamma Electronics 349,Retail,"Mumbai, India"
Alpha Traders 520,Fashion,"Toronto, Canada"
Delta Foods 740,Technology,"Sydney, Australia"
Omega Fashion 595,Technology,"Berlin, Germany"
Sigma Tech 826,Sports,"Los Angeles, USA"
Beta Retail 828,Electronics,"New York, USA"
Alpha Traders 818,Pharmaceuticals,"Mumbai, India"
Kappa Sports 299,Fashion,"Mumbai, India"
Epsilon Pharma 571,Sports,"Sydney, Australia"
Sigma Tech 540,Electronics,"Sydney, Australia"
Beta Retail 303,Sports,"New York, USA"
Kappa Sports 867,Fashion,"London, UK"
Kappa Sports 289,Food & Beverage,"New York, USA"
Delta Foods 437,Food & Beverage,"Paris, France"
Alpha Traders 795,Pharmaceuticals,"Sydney, Australia"
Omega Fashion 837,Technology,"Paris, France"
Alpha Traders 333,Technology,"Los Angeles, USA"
Omega Fashion 361,Sports,"New York, USA"
Zeta Furnishings 699,Retail,"Dubai, UAE"
Kappa Sports 561,Fashion,"London, UK"
Sigma Tech 236,Books,"Dubai, UAE"
Kappa Sports 849,Pharmaceuticals,"Tokyo, Japan"
Sigma Tech 831,Technology,"Toronto, Canada"
Sigma Tech 357,Sports,"Dubai, UAE"
Alpha Traders 212,Pharmaceuticals,"New York, USA"
Delta Foods 534,Electronics,"Mumbai, India"
Sigma Tech 162,Technology,"London, UK"
Beta Retail 338,Pharmaceuticals,"Berlin, Germany"
Kappa Sports 358,Fashion,"Berlin, Germany"
Sigma Tech 267,Food & Beverage,"Sydney, Australia"
Gamma Electronics 906,Retail,"Dubai, UAE"
Alpha Traders 725,Fashion,"Berlin, Germany"
Gamma Electronics 176,Food & Beverage,"Los Angeles, USA"
Zeta Furnishings 863,Food & Beverage,"Paris, France"
Zeta Furnishings 575,Technology,"Mumbai, India"
Alpha Traders 731,Food & Beverage,"Toronto, Canada"
Omega Fashion 482,Electronics,"Tokyo, Japan"
Gamma Electronics 696,Fashion,"Tokyo, Japan"
Sigma Tech 242,Technology,"Berlin, Germany"
Lambda Books 129,Technology,"Tokyo, Japan"
Zeta Furnishings 803,Sports,"Paris, France"
Alpha Traders 287,Technology,"Dubai, UAE"
Alpha Traders 574,Food & Beverage,"Dubai, UAE"
Gamma Electronics 873,Technology,"New York, USA"
Lambda Books 371,Books,"Toronto, Canada"
Alpha Traders 524,Fashion,"Toronto, Canada"
Beta Retail 147,Fashion,"New York, USA"
Gamma Electronics 797,Sports,"Mumbai, India"
Beta Retail 146,Fashion,"Toronto, Canada"
Alpha Traders 985,Sports,"Berlin, Germany"
Sigma Tech 843,Books,"Mumbai, India"
Epsilon Pharma 924,Electronics,"Mumbai, India"
Lambda Books 889,Technology,"Sydney, Australia"
Alpha Traders 919,Technology,"Sydney, Australia"
Omega Fashion 733,Technology,"Mumbai, India"
Zeta Furnishings 228,Books,"Dubai, UAE"
Sigma Tech 837,Sports,"Paris, France"
Delta Foods 630,Fashion,"Tokyo, Japan"
Kappa Sports 946,Fashion,"London, UK"
Omega Fashion 923,Food & Beverage,"Paris, France"
Lambda Books 435,Retail,"Los Angeles, USA"
Beta Retail 520,Books,"Toronto, Canada"
Kappa Sports 988,Electronics,"New York, USA"
Omega Fashion 200,Books,"Dubai, UAE"
Alpha Traders 329,Books,"Toronto, Canada"
Alpha Traders 316,Fashion,"Los Angeles, USA"
Gamma Electronics 397,Food & Beverage,"Tokyo, Japan"
Beta Retail 322,Pharmaceuticals,"Los Angeles, USA"
Zeta Furnishings 421,Retail,"Paris, France"
Alpha Traders 135,Retail,"New York, USA"
Kappa Sports 994,Technology,"Paris, France"
Lambda Books 461,Books,"New York, USA"
Epsilon Pharma 975,Electronics,"London, UK"
Omega Fashion 563,Retail,"London, UK"
